,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CGI,0.0011943314103354363,0.0,0.0,0.015980403477659524,0.0,0.0,0.0,0.0,3.3226163443368782e-18,0.0,5.142091042230128e-18,1.8853013950577143e-18,0.0,3.5875574553122885e-18,0.0,0.0,0.0,0.0
CI FINANCIAL,0.0,1.9097564726062632e-18,8.044225860058076e-19,1.3920162194370566e-18,4.7645565236709776e-18,0.0,0.0,2.436413843209036e-18,0.0,4.407976890921683e-18,0.0,1.6161322679867465e-18,0.0,1.9930566133627347e-19,8.458740239686726e-19,6.162923719820934e-19,0.0,0.0
CAMECO,5.0905546973713926e-18,5.0458625012788476e-18,1.981890353984768e-18,1.2146670406859273e-18,1.8457519112030114e-19,0.0,4.46402305954884e-18,0.0,4.555372050271131e-18,0.0,3.28907028887682e-20,0.0,0.0,1.5791709689522898e-18,0.0,7.340660514179367e-19,0.0,0.0
CANADIAN IMP.BK.COM.,0.0,7.552448454840214e-19,4.638543631695407e-19,0.0,0.0,0.0,0.0,0.0,1.802668024446204e-18,0.0,0.0,1.001253224941626e-18,0.0,2.732440584702768e-19,6.436900816974461e-19,2.632411063781345e-18,0.0,0.0
CANADIAN NATIONAL RY.,0.0,0.0,1.128320423117284e-18,1.9691996373771323e-18,8.101520206318132e-19,2.6994063536989986e-18,0.0,1.1614754122427658e-17,0.0,0.0,0.0,0.0,1.0690694567670457e-18,0.0,0.0,0.0,0.0,3.1404322905176644e-18
CANADIAN NATURAL RES.,0.0,0.001984835944754838,0.0,6.1131263690903e-19,0.0,7.187424471079697e-18,8.199829137994176e-18,0.0,2.3696794805047258e-18,4.097344763350169e-18,1.3894642966122039e-18,2.4774153799630606e-18,0.0,1.5038311552532869e-18,6.284280502145569e-19,1.977283977556809e-18,4.092776022391305e-19,1.143436687126001e-18
CANADIAN TIRE 'A',0.0,0.0,0.0,4.122828349549096e-20,0.0,2.190811403911745e-18,4.1604882754432944e-20,0.0,0.0,4.2163654325323376e-18,0.0,2.051915209390316e-18,0.0,0.0,0.0,2.1773174671097456e-18,2.8889599682580854e-18,1.8058358577755997e-18
CANADIAN UTILITIES 'A',4.0400588000710696e-19,3.2526065174565133e-19,0.0,3.522092727640572e-18,1.7130955700326528e-18,0.0018193620495566235,1.1710276615308623e-17,0.0,0.02624384193736407,0.0,1.4065322087321949e-18,0.0,0.0,5.234794263995006e-19,0.0,9.174291073009254e-19,0.0,5.072424132209579e-18
CELESTICA SBVTG.SHS.,2.85352824504379e-18,0.0,6.866544696310482e-19,1.57516391756902e-19,0.0,0.0,0.0,0.0,5.4968870810607834e-18,5.405026404121695e-18,0.0,0.0,2.38034173178164e-19,3.202099378297588e-19,0.0,0.0,0.0,1.156919998059457e-17
ELDORADO GOLD,1.0988398035716767e-18,1.8698742789011216e-18,1.776738337908695e-18,1.8186413043671245e-18,1.6949505284967333e-18,0.0,1.9231913478516255e-18,1.3387438419007184e-18,0.0,0.0,0.0,0.0,4.720195891240559e-18,0.0,1.9668132348681207e-19,1.368361690498284e-18,1.8691536405292097e-18,0.0
