,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGCO,0.0,0.0,0.0,1.799193222250539e-18,0.0,4.3774229630007625e-18,0.0,0.0,2.0594414660345566e-18,2.4212754555549503e-18,0.0,0.0,1.8591198505450594e-18,5.298224294145502e-19,0.0,1.9658120676075138e-18,0.0,0.0
AES,3.146545564797198e-19,0.0,0.0,3.1018830839848123e-18,2.2472595163064183e-18,1.9603553030168519e-19,0.0,0.0,1.6926055528602263e-18,0.0,0.0,4.9057993380255e-19,9.300076573302326e-20,5.74541113244108e-19,1.7076015123696137e-18,4.66388576502392e-20,9.840346637769964e-19,0.0
AT&T,1.520133815852757e-19,0.0,1.2358039967982008e-18,0.0,0.0,2.726613642813907e-18,0.0,0.0,5.2108506736076555e-18,0.0,0.0025342098335056,0.021224521751709864,0.016146469107341774,0.006663828690524644,0.006192755639823574,2.785735181055002e-18,0.0,3.394718966723581e-19
ABBOTT LABORATORIES,0.0,2.0588363568509017e-18,2.6453423235103714e-05,0.0,0.03916972329977835,0.043415321755849674,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,2.408708783266806e-18,3.1059087804542048e-19,1.6796763125711326e-19,2.3756004290954455e-18,0.0
ABERCROMBIE & FITCH 'A',0.00472807175390569,0.0,0.005857487303008976,7.020266085755841e-19,3.793222364440518e-18,5.2670305173814557e-20,0.0,1.4161315053572027e-20,0.0,0.0,7.777451397337286e-18,0.0,8.286688729014257e-19,3.1494717898560128e-18,5.807894501865454e-19,0.0,0.0,5.22078495465166e-18
ACTIVISION BLIZZARD,6.013876351358045e-19,0.0,1.3518920276015112e-19,6.350826035649456e-19,0.0,0.007234338318721951,1.3927921089159588e-17,0.0,8.970113365453285e-18,0.0,2.2713127770945964e-18,0.0,8.383478775902752e-19,6.289907791407011e-19,0.0032276093703676426,0.03648280340229496,0.04361439416465448,0.025363331447734245
ADOBE (NAS),0.0,2.460605775064797e-19,2.2177915212101846e-18,1.0060474587818954e-18,0.0,1.6675084049597117e-18,0.0,0.0,5.185125867079497e-18,0.0,0.0,0.0,0.0,0.0,0.0,7.465483766890785e-19,1.1602347302574907e-18,0.00030479414110442865
ADTALEM GLOBAL EDUCATION,1.6240672827451342e-18,7.873119240854899e-21,3.23776491764319e-19,2.3479270484685688e-20,7.1693553143073105e-19,3.923086712449372e-18,5.4765266233168994e-18,1.0733215227190394e-18,2.3773626196650193e-18,0.0,0.0,0.0,0.0,0.0,0.0,8.97882371648666e-19,0.0,1.2244350110051904e-18
ADVANCED MICRO DEVICES,0.0,1.887371914131255e-18,1.9246779301706207e-18,0.0,6.801478725688079e-18,0.0,0.0,3.675040485231325e-18,0.0,2.811495095609894e-18,0.0,0.0,0.0,1.520259610446803e-18,5.306597964344578e-19,0.0,5.112450542395788e-18,0.0
AFFILIATED MANAGERS,0.0,3.0017395228658112e-18,3.37348316840343e-18,0.0,0.0,0.0,0.0,8.293166231064515e-18,9.931534169545916e-19,0.0,7.39252644770733e-20,0.0,0.0,2.833677410243707e-19,0.0,2.2728750608457525e-18,1.374497593996683e-18,0.0
AGILENT TECHS.,0.0,7.2810616168137785e-19,2.34385966836511e-18,2.6842081903298294e-18,4.629129081571259e-19,1.870444602743739e-18,3.3778845582908885e-18,0.0,0.0,0.0,4.616093661154966e-19,0.0,0.0,0.0,0.0,0.0,0.0,6.213360325309408e-19
AIR PRDS.& CHEMS.,0.0,0.0,7.628424756975807e-19,0.0,2.3007391139160767e-18,0.0,6.190640420183311e-19,3.260150009996331e-18,2.0047220663158657e-18,3.6559851072208405e-19,7.295374889468288e-19,1.8097982847127983e-18,5.580513478341447e-19,0.0,0.0,0.0,2.561402867628242e-18,1.1657887284431097e-19
AKAMAI TECHS.,1.8003484719484592e-18,0.0,8.464231426511322e-19,1.625437229482147e-19,5.336767430658826e-18,0.0,0.0,6.541688630155615e-22,0.0,0.020180829030254192,1.1091310567926353e-18,0.0,4.202723112538428e-05,2.9522335870056226e-18,0.0,0.004853327545132624,0.03606148321494273,0.010007886656844272
ALBEMARLE,2.400383870322201e-19,0.0,2.9379639657401587e-18,0.0,0.0,6.3091440601964464e-18,0.0,3.4022822231897195e-18,9.77630187073206e-18,8.651710442278566e-18,0.0,0.0,1.9474225654608037e-18,5.086493935847379e-19,0.0,1.9063107165858144e-20,0.0,3.869529383321237e-18
ALEXANDRIA RLST.EQTIES.,3.7433360264357906e-19,1.6473313304555915e-18,0.0,0.0,1.81292865652935e-18,0.0,0.0,7.395187258917342e-18,8.960359339436704e-20,1.7242004096040034e-19,0.0,0.0,3.7894784915870814e-20,8.555392792507037e-19,0.0,5.954993401904713e-19,5.360689110174804e-18,0.0
ATI,2.3791490229681893e-18,0.0,0.0,1.078468565305327e-18,4.764267169951775e-18,0.0,2.0524294931373806e-19,0.0,5.761195824111888e-18,0.0,0.0,6.910252996079937e-19,0.0,0.0,2.1527277389191567e-18,1.6993067904056983e-18,0.0,0.0
ALLIANT ENERGY (XSC),0.0,0.0,1.0792341213443125e-18,0.0,0.0,5.517910358988536e-19,1.1561022113893921e-18,0.0,3.124650754336361e-18,0.0,0.0,1.7224253738900391e-18,1.4258966597170666e-18,0.0,3.3406096687002043e-18,2.6084486707859346e-19,3.489772440547815e-18,0.0
ALLSTATE ORD SHS,1.497473096648845e-18,1.5486137605544846e-18,7.848651833089802e-19,0.0,1.3754754195393201e-18,3.820309578199805e-19,4.20955825617904e-18,0.0,0.0,3.5949206377399605e-18,1.0887425185637364e-19,4.501306551700696e-19,1.753712436787887e-18,2.0397360051199827e-19,1.383926024103595e-18,6.520450894722217e-19,1.883927093374157e-18,0.0
ALTRIA GROUP,2.038185405447853e-18,0.0,2.337579226211896e-18,4.652387855662629e-19,0.0,0.03999813617815967,0.006949008698614786,2.143852716450894e-18,0.0,2.994855383219442e-18,0.0,1.5752157773863264e-18,0.0,5.335096819808746e-19,0.0,8.241012215211863e-19,0.004016872181167217,0.0
AMAZON.COM,1.6729867967497244e-18,0.0,1.2072006485300502e-18,1.9545075360610652e-19,2.1734512938075356e-18,0.0,1.746586768469964e-19,0.0,6.3129169317143264e-18,0.0,0.0,1.6243118798450363e-19,0.0,3.381118137636083e-18,3.526145509354597e-18,0.0,3.3854503215776877e-19,0.0
AMEREN,0.0,0.0,0.015844044194096563,0.0,5.968259812619675e-20,0.0,0.0,0.0,0.0,2.832579648803298e-18,0.0,4.308188028254133e-18,1.4227129304296226e-18,0.0,1.867772701656462e-18,0.0013223619233687133,0.003806920620736237,6.064710632371199e-19
AMER.ELEC.PWR.,0.0,1.3486065496498343e-19,0.0,8.006937540679236e-19,0.0,0.0,6.02018196047941e-19,0.0,2.6950608883114593e-18,0.0,0.0,0.0,9.249806643039198e-19,0.0,1.6507356883113136e-19,0.009541394192236905,1.797002381389568e-18,2.116842620026526e-18
AMER.EAG.OUTFITTERS,0.0,0.0,1.2007138126016136e-18,6.277580189313042e-19,0.0,0.0,0.0,9.568259804524572e-19,3.520025315802053e-18,2.6628489619465985e-18,0.0,0.0,2.011474867696131e-19,0.0,2.7606735213182777e-18,1.5502821835759224e-19,0.0,0.001592450951771453
AMERICAN EXPRESS,0.0,3.861312255522907e-19,0.0,9.632195120043708e-19,3.800215621903082e-18,6.262348994421756e-19,1.4064989465184307e-17,0.0,1.3122169102721823e-18,3.591961873815901e-18,1.440599027589273e-18,1.089253702866518e-18,0.0,0.0,0.0,1.8249647243757264e-18,0.0,3.266231053252704e-18
AMERICAN FINL.GP.OHIO,0.0,0.0,0.0,3.6880913918161397e-19,3.587586349059916e-18,0.0,0.0,0.0,5.332287288639702e-18,4.154752548409421e-18,0.0,0.0,0.0,0.0,2.1549893795517098e-18,0.0,1.468136201261527e-18,1.531748552012174e-18
AMERICAN INTL.GP.,0.0,0.0,1.3830549503708515e-18,4.137634918727982e-19,0.0,3.687700495531641e-18,0.0,2.6055801820616355e-18,2.9336186600923763e-18,1.7032719020730977e-18,0.0,1.3171811037717422e-18,0.0,1.510040786753251e-19,8.16370792698898e-21,0.0,0.0,0.0
AMERICAN TOWER,4.762555975078654e-19,4.523184816102997e-19,0.0,1.1471186479008445e-18,0.0,0.0,1.9679664974973303e-18,6.01671981680308e-19,0.0,0.027335729723879026,0.05243417706523345,0.010389843678778862,0.0,2.9211543253157403e-18,0.0,0.0,5.7462715141731735e-18,2.3700489697023525e-19
AMERICA S CAR MART,0.0,0.0,0.004017164204100757,0.016094376794148914,0.005043150216224022,0.0,0.0,0.0,0.0,0.0,0.0,6.363640618961417e-19,0.0,7.702133690400835e-19,0.0,0.0,0.0,1.0393431378852356e-18
CENCORA,6.115305440805647e-19,0.0,8.112950061646508e-19,1.745518500613975e-06,0.0,0.0,8.978188309023313e-18,0.0,0.0,6.062984871757091e-19,0.0,1.7747182572025168e-18,1.9211605842272927e-19,6.4708439677751335e-19,1.065183754092096e-18,9.246928065836186e-19,2.270748007254241e-18,0.0
AMETEK,9.034742706630748e-19,0.0,0.0,8.41656709856226e-19,3.6598638244453464e-18,1.531419098216937e-18,6.825768522731521e-19,4.825385332517898e-19,0.0,0.0,1.0058806108725687e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMGEN,1.275233075357476e-19,1.000872464799373e-18,0.0,8.05856096736986e-19,2.540839001611971e-18,2.1806491193895425e-18,0.0,0.0,5.959781069793621e-18,0.0,0.0,0.0,0.0,6.712108668363039e-19,1.2125124048268214e-18,2.891078246929683e-19,4.825689313721058e-19,7.183465105574024e-19
AMPHENOL 'A',0.0,2.7282552069254974e-18,1.7046383991349865e-18,0.0,3.4469365512990635e-20,1.627462884517476e-18,0.0,6.463779450753064e-18,0.0,1.9025443719250782e-20,1.515952362072712e-18,0.0,0.0,0.0,1.6509553307210578e-18,1.169362810822015e-18,1.3586510020553282e-18,4.3465285190696376e-18
ANALOG DEVICES,0.0,2.04601351219978e-18,0.0,0.0,0.0,1.287161783772673e-18,8.052989461483301e-18,6.1520078489132605e-19,0.0,1.5677149200740319e-18,0.0,0.0,4.720187916178338e-19,0.0,5.076260457115478e-19,2.1759634984158613e-19,2.1470999663142846e-18,0.0
APA,0.0,0.010770441771119953,0.013885190494717254,9.383807487135887e-19,0.0,2.5137522597976577e-18,0.0,2.561243161119013e-18,1.1519091051506127e-18,3.8616808487698394e-18,1.6977050221945054e-18,0.0,0.016768049160032144,0.015999188861564283,2.4116559024126413e-18,0.0,0.0,6.821950678892167e-19
APARTMENT INV.& MAN.'A',1.0753317648666564e-18,0.0,0.0,0.0,1.199477597158668e-19,0.0,0.0,4.615586956956362e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.868257983899944e-19,0.0,0.0
APOGEE ENTERPRISES,7.59678767515647e-19,1.7667604852665925e-18,1.872283194261765e-18,3.9330737083704784e-19,1.4730913560296748e-19,0.0,0.0,0.0,5.870929794601078e-19,3.074209177888789e-18,0.0,3.2056333703290134e-18,0.0,8.299142384608443e-19,9.171700124107912e-21,0.0,0.0,0.0
APPLE,2.2264118823519854e-18,1.640571268577499e-18,0.0,1.644086009789342e-18,0.0,0.0,9.125843760110597e-19,0.0,0.0,2.7833219068698315e-18,2.140815827455927e-18,0.0,0.0,0.0,4.2997019343589254e-19,0.0,3.9307737327207014e-18,0.0
APPLIED MATS.,0.0,2.5076632203968505e-18,0.0,2.48721277611242e-19,6.966586827615055e-19,1.3906851382670939e-18,0.0,2.526409419870798e-18,3.570471422130461e-19,5.147392457057091e-18,1.3178046502490412e-18,0.0,0.0,1.2060238002851695e-19,8.117036374026304e-19,6.514170959621694e-19,0.0,7.75493427474735e-19
APTARGROUP,0.0,0.0,0.0,0.0,4.451907616406641e-19,0.0,0.0,6.206530081373667e-19,1.1379140367192607e-18,0.0,0.0,0.0,0.0,1.4867609580522388e-19,8.848801441467359e-19,9.18015419038931e-20,0.0,4.380765699706657e-18
ARCHER DANIELS MIDLAND,1.0354244158751293e-18,1.0901651902747059e-18,3.9199246337507776e-19,1.4819307845380174e-20,6.898893972248395e-20,0.00042010200932750827,0.014054510224759384,0.0,0.0,0.0,3.729706684630222e-19,1.001736662567492e-18,1.900482955982335e-18,8.565536130926966e-20,1.967462619677224e-18,7.44229313406506e-19,6.581536937355517e-18,4.13743259431458e-18
ARROW ELECTRONICS,0.0,8.566181912148669e-19,0.0,1.0338447647607777e-18,0.0,0.0,0.0,2.6256199752087352e-18,9.048088653159737e-19,4.44150111269797e-18,0.0,0.0,0.0,0.0,7.420188991333616e-19,1.4380056767804802e-18,5.399425478215452e-19,0.0
ASHLAND,0.0,1.2736213470405367e-18,0.0,8.462058316010069e-19,7.385555457142759e-20,0.0,0.0,5.8612404563441035e-18,4.7111114203629825e-18,1.1239655237100525e-18,0.0,0.0,0.0,0.0,6.077836588357388e-19,0.0,1.7114168609910187e-18,1.985651133605527e-18
ASSOCIATED BANC-CORP,0.0,0.0,1.829453824588081e-18,0.0,0.010267104420233618,0.05786746448688655,0.01100780571100326,0.003232308104050557,0.0,1.2285255240104318e-18,4.8578947808486345e-20,0.0,1.0177310453455724e-18,5.952379306038023e-19,7.7092733814234e-19,1.9300554086579117e-18,0.0,5.260199428821771e-18
ATMOS ENERGY,0.01202458785726295,6.837422426460139e-19,0.0,4.481444758395961e-19,4.5007553367535555e-05,0.00019393942710584002,1.1734537842536185e-17,0.0,0.0,0.0,0.0,1.6237774345099796e-18,0.0,5.131844043148969e-19,0.0,0.010904867522240768,0.0,0.0
AUTODESK,0.0,0.0,0.0,1.0438119665758233e-18,9.258285690409597e-20,1.7964834437834693e-18,7.244130069044532e-18,0.0,0.0,0.0,0.0,0.0,1.9063453556479385e-18,1.0839472610711895e-18,1.9420133395907314e-18,6.699370758844478e-19,1.920368211359624e-18,0.0
AUTOLIV,6.316702832069699e-19,0.0,0.0,1.3302317839774494e-19,0.0,0.0,0.0,0.0,9.581265409986141e-18,4.27677724223312e-18,2.03280855809764e-18,0.0,0.0,0.0,3.8549848427461344e-19,0.0,0.0,0.0
AUTOMATIC DATA PROC.,2.0436592433356372e-18,7.700636367159597e-19,1.0772763541284975e-20,9.767331569136597e-20,0.018497064310139692,1.4305159407596642e-18,0.0,0.0,0.0,1.8553760932809365e-18,1.5464896263906245e-18,0.0,1.3210789310962667e-19,0.0,5.287387664951208e-19,2.297017435637368e-18,1.4845900652053685e-18,1.4040011256525205e-18
AUTONATION,0.0,2.8283330540985508e-18,0.0,0.0,3.1945235194233327e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.339724503712453e-19,2.382281153685861e-18,1.4622900095418387e-18,0.0,0.0
AUTOZONE,0.0,6.465356216749148e-19,0.0,0.0,0.0,7.1894469351685204e-06,0.03249102793552091,0.07071182801923961,0.03754144940919801,0.02197294275097525,0.005590321151256487,0.009416521697488382,3.0336598463921103e-18,0.0,0.0,2.182991787355974e-19,1.3670146972490013e-18,3.8488840975771926e-18
AVALONBAY COMMNS.,0.0,4.580844219409945e-19,0.0,0.0,0.0,2.8953761757785284e-18,0.0,3.619627478434323e-18,7.041637223620623e-18,0.0,1.6583042879768715e-18,0.0,0.01820990616614467,0.015096715817032482,1.061587179388338e-18,0.0,0.0,0.0
AVERY DENNISON,0.0,8.387454963693964e-19,0.0,2.1611457898080564e-18,0.0,0.0,3.26167766021538e-18,0.0,0.0,0.0,0.0,0.0,6.026359802517435e-19,0.0,2.51975922905227e-19,7.773511058283291e-19,0.0,0.0
AVIS BUDGET GROUP,3.8828204906834624e-20,5.848918580794593e-19,0.0,9.381020159453549e-20,1.530915900189614e-18,1.5657975260033825e-18,3.793144905077868e-19,0.0,6.897224479447151e-18,0.0,3.79802868478235e-18,0.0,0.0,0.0,5.99255083241586e-19,0.0,6.882584083820616e-18,1.1730167746625935e-18
AVNET,0.0,0.0,3.807050254462297e-19,0.0,0.0,0.0,0.0,0.0,1.5358183317135416e-18,0.0,1.046433116330075e-18,0.0,1.3573790315083472e-18,0.0,9.256643073889463e-19,0.0,9.401859003262068e-19,0.0
BOK FINL.,5.978865728341258e-19,1.15464618730103e-18,7.533337139233606e-20,4.483532424654248e-19,1.095782649887504e-18,0.0,3.5854314950361303e-19,0.0,2.2030471727050895e-19,1.6679721125714011e-18,7.541612151786163e-19,0.013116874569589494,0.015577829783030604,0.0016061872593733104,0.0,0.0,0.0,1.009701811890829e-19
BADGER METER,3.3761328130372994e-19,0.0,1.361596307407183e-18,0.005780975512807817,1.076308183897702e-18,2.8857924203526767e-18,1.6806722468557174e-18,0.0,0.0,2.1815848018411304e-18,2.383690583219469e-18,1.0408088376326107e-19,0.0,7.001681426489932e-19,3.0214834701707156e-18,6.0758869083128035e-18,3.526627966035957e-18,2.8616778473423993e-18
BALL,0.030190489900515732,0.026507886038828643,0.029972573308572097,0.0,0.0,0.0,2.247079574496452e-18,0.0,2.1334061266481473e-19,6.449596261200619e-05,0.0,8.116959817032119e-19,0.0,0.0,0.013248384301875672,0.004817605677814692,0.023677977611837465,0.03672210657327505
BANK OF AMERICA,0.0,0.008317510063087055,0.0034434544976587557,0.021418574013035492,0.0,5.378891097580775e-18,5.752716430889465e-18,5.205753241295685e-18,0.0,0.0,2.552712961188859e-19,0.0,0.0,4.5494899580608315e-21,0.0,1.2792342715145004e-18,1.1738870540473548e-18,2.364154170008991e-18
BANK OF HAWAII,0.0,0.0,0.0,1.3789843168736569e-18,4.926140983424269e-19,0.0,5.524895020123029e-18,0.0,0.0,0.0,0.0,1.3823077606735296e-19,0.0,1.9668433912719606e-18,3.973162416483808e-19,9.565562947411312e-19,3.913119751594094e-20,0.0
BANK OF NEW YORK MELLON,0.0,0.0,0.0,0.0,1.2440885185229614e-18,5.408684175471824e-18,0.0,0.0,3.2088403477742785e-18,4.463740926451287e-18,0.0,1.2401002083543283e-18,0.0,1.2503096861691146e-18,0.0,1.9987025942949473e-19,5.556557739961918e-19,0.0
BATH AND BODY WORKS,2.5735631890587885e-19,0.0,9.019597926757507e-19,0.0,0.0,0.0,0.0,0.0,3.1956531022852343e-18,1.6474516404311077e-18,1.6153275979451798e-18,5.380698973148939e-19,0.0,0.0,2.081877603675409e-18,1.7098420385459498e-18,2.1404989220434284e-18,1.1184481128873104e-18
BAXTER INTL.,2.8833320705516226e-18,5.014653386645087e-19,0.0,0.0,0.0,3.9454344410502835e-05,0.0,0.0,1.8745589960951917e-18,0.00539008882297531,0.0,0.0076768696739680595,4.722746422189723e-19,8.082980873490676e-18,4.1800346909563596e-19,9.155648654200408e-20,0.0,1.2850457990648485e-18
BECTON DICKINSON,1.7243990125933088e-18,1.9592154254862998e-19,1.3206372280880618e-18,1.830673671406014e-18,0.0,0.0,3.167516034673192e-19,1.2255760538639006e-18,9.173474998304775e-18,0.0,1.276489111450166e-18,2.1124662998355096e-18,0.0,6.512135832031579e-19,0.0,9.708540819082884e-20,0.0,0.0
BED BATH & BEYOND DEAD - DELIST.02/10/23,0.0,4.784209777778709e-19,2.8133009091273516e-19,1.2513973980884743e-18,0.0,0.0,0.0,2.5995438484248764e-18,0.0,1.801812045373149e-18,0.0,7.748082672874767e-19,0.0,7.536122683197455e-20,7.937250686815449e-19,0.0,8.477199431279543e-21,1.9385013418356543e-18
W R BERKLEY,0.0,7.967559371252315e-19,0.0,0.0,0.059497777561693464,0.005225869529146881,0.03588729494294459,0.0010754495667282134,0.0,0.0,0.0,0.0,1.1384314068569693e-18,0.0,9.69541292421771e-19,3.341390310055452e-18,0.0,1.4789345336523995e-18
BERKSHIRE HATHAWAY 'A',0.0,0.0108372369674091,0.006915765804416872,0.003150222130692876,0.004409205008989026,0.0,0.0,0.0,0.0,0.022892650458602476,0.037985198891074844,0.0,0.0,8.639210145298084e-19,1.1338574567566142e-18,1.3415090070645102e-18,1.8237668645560845e-19,0.0
BEST BUY,3.4613923922939684e-18,8.64142420053875e-19,0.0,0.0,4.637954608278706e-18,0.0,9.405472689829627e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.2252670056051532e-18,2.785280906840899e-18,0.0,0.0,0.0
BIG LOTS,1.351638525156978e-18,3.0514390567834764e-18,4.1918255186505114e-20,0.0,3.765545797005139e-18,0.0,1.0174047228483318e-19,0.0,0.0,0.0,2.8976853854445184e-18,1.8452125070807516e-18,0.0,0.0,0.0,0.0,4.0763672554741596e-18,0.0
BIOMARIN PHARM.,1.911785996334926e-18,3.758043222609137e-18,0.00028650725640501937,8.470319746220044e-19,1.0467632169449966e-18,2.997002379270569e-19,6.2857333164015015e-18,5.3428384957406205e-18,0.0,7.693492971597306e-19,0.0,0.0,0.0,0.0,1.818373501284993e-18,2.8712404307508967e-18,7.4086725924755605e-19,0.0009110793014260293
BIOGEN,6.814596165286938e-19,0.0,0.0,4.889188299398759e-19,0.0,2.89671083081913e-19,1.4415079341289197e-18,4.154890317013771e-18,2.291529532216249e-18,6.541713527097589e-20,0.0,0.0,1.690321044211486e-18,0.0,2.360798131741925e-18,9.861738711871321e-19,0.013310015099020068,0.0
BIO-TECHNE,1.2128549845729956e-18,0.0,0.0,7.082538314281897e-20,0.0012765722669286135,2.2420798731290093e-18,0.0,0.0,0.0,0.0,0.00010457408800865114,2.3669162727174244e-18,1.4061657257257982e-18,0.0,0.0,8.525589203345047e-19,0.0,0.0
BLACKROCK,0.052390938689059856,0.03991805050481341,0.025899280982767538,0.013209306858136411,1.3358540612974196e-18,0.0,0.0,2.872248601100443e-18,3.2838855763974625e-18,5.832753662776618e-18,0.0,0.0,1.482312810184116e-18,0.0,1.0221177433881625e-18,0.0,6.920057872056377e-19,0.0
H&R BLOCK,0.0,5.500427384292709e-19,0.017166372117322286,5.692952088033696e-19,0.0,0.0,3.0908184936852046e-18,1.6640604318899508e-19,5.939328928243294e-18,2.182308977135313e-18,1.1089530434334175e-18,4.636962891340895e-19,0.0,1.8817264312918764e-18,0.011455177797513438,0.03926030267659046,0.0029742170522190315,0.0
BOEING,5.205473217572343e-19,0.0,7.871215426240827e-19,2.878316789565369e-19,0.0,2.2394165942289824e-18,0.0,0.0,0.0,0.0,0.0,0.0,3.2275846843723284e-18,0.0,0.0,0.0,2.584529556461173e-19,0.0
BOOKING HOLDINGS,0.0,0.0,4.902531701499895e-19,0.0,0.0,5.472567987536944e-19,5.577737366310109e-19,1.2048404329958628e-19,7.922552756431061e-18,2.907737442205607e-18,2.239484285371256e-18,0.0,2.701741108009732e-19,0.0,0.0,2.1411367358635578e-18,0.0,0.0
BORGWARNER,1.6322007185351967e-19,2.0334541605439356e-18,6.650318618896664e-19,0.0,1.462954804393985e-18,1.2988386339079337e-17,2.0386089970740428e-18,3.779440149042315e-18,0.0,0.0,0.0,0.0,0.0,2.1209950554762956e-18,0.0,9.487269057035172e-20,1.4091438453395368e-18,2.8534250706616053e-18
BOSTON PROPERTIES,3.236506726807446e-19,2.9402465561571747e-18,0.0,0.0,2.2744423092985485e-18,9.012283527958184e-19,3.732587772083754e-18,0.0,0.0,1.0247934609910455e-18,0.0,0.0,0.0,4.8399912178338685e-19,1.3332180933942653e-18,5.617762668213575e-19,0.0,1.9766326617653717e-18
BOSTON SCIENTIFIC,0.03207577548833936,0.03264752219634902,0.010752892301294281,1.2556291108045947e-18,0.0,3.758270931630236e-18,0.0,3.945369629547067e-18,1.1740773633265798e-17,2.9047367260136386e-18,0.0,0.0,0.0,0.0,0.0,2.268617382726029e-18,0.0,9.29748917532283e-19
BOYD GAMING,1.071355518895107e-18,3.013220821617989e-18,4.4763907841839014e-20,0.0,0.0,0.0,0.0,6.1669866677290556e-18,2.2867865163287182e-18,2.5478550020617524e-18,0.0,8.234436178122652e-19,0.0,0.0,0.0,1.5549593431341952e-18,0.0,3.4230199916605653e-19
BRANDYWINE REAL.TST.SHBI NEW,0.0,1.880737979106402e-18,0.0,1.3349416530033964e-18,0.0,1.1737709842917696e-18,2.263758350319862e-18,0.0,0.0,1.209555035502939e-18,0.0,1.1003300394094407e-18,0.0,0.0,0.0,0.0,1.254807666334622e-18,6.346962450593886e-19
BRINKER INTL.,0.0034868662437456807,0.014122294736172367,6.88330971722561e-05,0.0,7.7752514651818e-18,0.0,2.0031505652608816e-18,0.0,0.0,3.18044927942503e-19,1.5077186496864037e-18,1.4687454132087754e-18,3.813112371074864e-18,1.7605955844058993e-18,0.0,0.0,0.0,0.0
BRINK'S,0.0,0.0,0.0,0.0,1.221983474403609e-18,2.8230719259735066e-18,1.1195959181702785e-18,0.0,0.0,4.982097146011404e-18,0.0,0.0,1.2506697556854816e-19,0.0,0.0,4.361971193045727e-19,0.0,0.0
BRISTOL MYERS SQUIBB,1.8739511189396587e-19,2.8612388540108587e-18,0.0,0.0,1.7263492650709854e-18,9.59918904464003e-19,0.0,6.324471491044675e-18,1.2544798735847317e-18,0.0,0.0,0.00011614222965871811,0.0,6.072767841073785e-19,0.0,0.007097610299485972,0.0,0.0
BROWN & BROWN,0.0,2.2602332217897367e-18,0.0,0.012850745281780424,0.0,4.080612721724226e-18,8.027050559132287e-18,0.0,8.309464717866501e-19,4.2911860836173025e-19,0.0,9.895836610373263e-19,0.0,0.0,0.014803603410031346,3.1223170217697496e-19,0.0,0.013687701107564431
BROWN-FORMAN 'B',2.7930649219059104e-18,0.0,1.308561765202465e-18,0.01422648925530555,0.0,0.0,2.041316873371399e-18,5.117870793979072e-19,1.1380673765501295e-18,0.0,0.0,0.0,6.309507860382502e-19,0.0,7.223943471829018e-07,0.005760579739848076,0.0,0.013043587415699316
CH ROBINSON WWD.,8.43486611351831e-19,0.0,0.0,0.0,6.4234218272551e-20,0.0,2.1472867489763721e-19,0.0,1.2894125140329549e-18,0.0,0.0013792757607545695,0.012298573950093738,0.02259089308724707,0.009659448007860784,2.7629966098272344e-18,3.696181428721217e-19,0.0,1.1512151400483875e-18
CIGNA,9.051165636389002e-20,6.588685498601939e-19,8.969980509783631e-19,6.34405121794405e-19,0.0,2.268063335922416e-18,0.0,0.0,7.738439187294162e-19,0.0,0.026278238807632675,0.01933993670694495,0.007990225870114397,0.021311050387851256,0.0019674065677566265,0.024271124227127863,4.898172524835803e-18,1.711814601281477e-18
CMS ENERGY,1.6902457824642371e-18,1.3187074301051646e-18,8.613213056285665e-19,0.0,0.0,2.1993479897032944e-18,3.362839574218682e-18,0.0,0.0,0.012956026752807426,2.8133052721865743e-18,0.0006088089912464142,0.0005111597685928673,0.0,0.0,0.0,0.0032226446731527685,0.0
CNA FINANCIAL,0.0,8.829701750099334e-19,1.582053497837021e-18,0.0,2.5696671598300913e-18,0.0,0.0,1.566237855993067e-18,0.0,0.0,0.0,1.837870005901594e-18,3.0477678030494495e-18,1.9863439471393554e-19,1.8517871048091617e-18,0.0,2.428905203430707e-18,0.0
CSX,8.577546686334597e-19,7.083025749061792e-19,0.0,0.0,0.0,1.8136291168762067e-18,7.008598478920702e-19,4.2281245893214625e-18,3.4978627274763485e-18,0.0,0.0,0.0,5.537684807066686e-19,0.0,1.8692262365174257e-18,1.4819063961326004e-18,1.430683006947403e-18,2.918790494020341e-19
CNX RESOURCES,5.800907677966342e-19,0.0,0.0,0.0,0.0,1.917315918048167e-18,0.0,3.1141518596521265e-18,2.3095750680410684e-20,0.0,0.0,0.0,0.0,5.06165517270516e-19,0.0,5.651652185104531e-20,0.0,0.0
CVS HEALTH,6.526385658174881e-19,0.0,4.2084192343659834e-19,0.0,2.4684308442704427e-18,0.0,3.0049862313797926e-18,0.0,1.8443541249170755e-18,3.7575609289049845e-18,1.2566046211900766e-18,0.0,0.0,5.903700121915582e-19,0.0,0.0,5.63523853735114e-18,1.663554376501109e-18
